"","Estimate","Lower","Upper","analysis","classLandscape","area","contour","availPointsPer","samplingPattern","weighting","branches","species","indi","tf","td","sigColour"
"wrsfMethodsOUT_7_0.5_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_1_BADGER","BADGER",1,2,7,NA
"wrsfMethodsOUT_7_0.5_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_1_VULTURE","VULTURE",1,2,7,NA
"wrsfMethodsOUT_7_0.5_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_1_KINGCOBRA","KINGCOBRA",1,2,7,NA
"wrsfMethodsOUT_7_0.5_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_2_BADGER","BADGER",2,2,7,NA
"wrsfMethodsOUT_7_0.5_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_2_VULTURE","VULTURE",2,2,7,NA
"wrsfMethodsOUT_7_0.5_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_2_KINGCOBRA","KINGCOBRA",2,2,7,NA
"wrsfMethodsOUT_7_0.5_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_3_BADGER","BADGER",3,2,7,NA
"wrsfMethodsOUT_7_0.5_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_3_VULTURE","VULTURE",3,2,7,NA
"wrsfMethodsOUT_7_0.5_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_3_KINGCOBRA","KINGCOBRA",3,2,7,NA
"wrsfMethodsOUT_7_0.5_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_4_BADGER","BADGER",4,2,7,NA
"wrsfMethodsOUT_7_0.5_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_4_VULTURE","VULTURE",4,2,7,NA
"wrsfMethodsOUT_7_0.5_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_0.5_4_KINGCOBRA","KINGCOBRA",4,2,7,NA
"wrsfMethodsOUT_7_1_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_1_BADGER","BADGER",1,1,7,NA
"wrsfMethodsOUT_7_1_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_1_VULTURE","VULTURE",1,1,7,NA
"wrsfMethodsOUT_7_1_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_1_KINGCOBRA","KINGCOBRA",1,1,7,NA
"wrsfMethodsOUT_7_1_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_2_BADGER","BADGER",2,1,7,NA
"wrsfMethodsOUT_7_1_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_2_VULTURE","VULTURE",2,1,7,NA
"wrsfMethodsOUT_7_1_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_2_KINGCOBRA","KINGCOBRA",2,1,7,NA
"wrsfMethodsOUT_7_1_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_3_BADGER","BADGER",3,1,7,NA
"wrsfMethodsOUT_7_1_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_3_VULTURE","VULTURE",3,1,7,NA
"wrsfMethodsOUT_7_1_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_3_KINGCOBRA","KINGCOBRA",3,1,7,NA
"wrsfMethodsOUT_7_1_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_4_BADGER","BADGER",4,1,7,NA
"wrsfMethodsOUT_7_1_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_4_VULTURE","VULTURE",4,1,7,NA
"wrsfMethodsOUT_7_1_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_1_4_KINGCOBRA","KINGCOBRA",4,1,7,NA
"wrsfMethodsOUT_7_2_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_1_BADGER","BADGER",1,0.5,7,NA
"wrsfMethodsOUT_7_2_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_1_VULTURE","VULTURE",1,0.5,7,NA
"wrsfMethodsOUT_7_2_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_1_KINGCOBRA","KINGCOBRA",1,0.5,7,NA
"wrsfMethodsOUT_7_2_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_2_BADGER","BADGER",2,0.5,7,NA
"wrsfMethodsOUT_7_2_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_2_VULTURE","VULTURE",2,0.5,7,NA
"wrsfMethodsOUT_7_2_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_2_KINGCOBRA","KINGCOBRA",2,0.5,7,NA
"wrsfMethodsOUT_7_2_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_3_BADGER","BADGER",3,0.5,7,NA
"wrsfMethodsOUT_7_2_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_3_VULTURE","VULTURE",3,0.5,7,NA
"wrsfMethodsOUT_7_2_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_3_KINGCOBRA","KINGCOBRA",3,0.5,7,NA
"wrsfMethodsOUT_7_2_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_4_BADGER","BADGER",4,0.5,7,NA
"wrsfMethodsOUT_7_2_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_4_VULTURE","VULTURE",4,0.5,7,NA
"wrsfMethodsOUT_7_2_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_7_2_4_KINGCOBRA","KINGCOBRA",4,0.5,7,NA
"wrsfMethodsOUT_15_0.5_1_BADGER.est",-0.101337396665243,-4.41141795556522,4.20874316223473,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_1_BADGER.est","BADGER",1,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_1_BADGER.est1",0.805017216040304,-2.15608071746442,3.76611514954503,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_1_BADGER.est1","BADGER",1,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_1_VULTURE.est",-0.160313148372285,-4.37697528806478,4.05634899132021,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_1_VULTURE.est","VULTURE",1,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_1_VULTURE.est1",0.16410877621118,-2.70862758752996,3.03684513995232,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_1_VULTURE.est1","VULTURE",1,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_1_KINGCOBRA.est",-2.85030564605542,-6.66845748238209,0.967846190271251,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_1_KINGCOBRA.est","KINGCOBRA",1,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_1_KINGCOBRA.est1",3.85028471705105,-2.63035420439621,10.3309236384983,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_1_KINGCOBRA.est1","KINGCOBRA",1,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_2_BADGER.est",2.07546572598894,-1.80428017915641,5.9552116311343,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_2_BADGER.est","BADGER",2,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_2_BADGER.est1",1.20945744034638,-2.06657780285953,4.48549268355229,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_2_BADGER.est1","BADGER",2,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_2_VULTURE.est",0.00389173379429008,-3.46185688582081,3.46964035340939,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_2_VULTURE.est","VULTURE",2,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_2_VULTURE.est1",0.248339558513141,-2.64365672948269,3.14033584650897,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_2_VULTURE.est1","VULTURE",2,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_2_KINGCOBRA.est",1.15184828414684,-2.91692875258847,5.22062532088216,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_2_KINGCOBRA.est","KINGCOBRA",2,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_2_KINGCOBRA.est1",1.72399506283679,-2.06482765129069,5.51281777696428,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_2_KINGCOBRA.est1","KINGCOBRA",2,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_3_BADGER.est",0.894943165652309,-4.64292593758067,6.43281226888529,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_3_BADGER.est","BADGER",3,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_3_BADGER.est1",0.483881752557311,-5.01441000981372,5.98217351492834,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_3_BADGER.est1","BADGER",3,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_3_VULTURE.est",-0.0483696601109076,-4.88467854311055,4.78793922288874,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_3_VULTURE.est","VULTURE",3,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_3_VULTURE.est1",-0.00669618826396134,-2.83147107705933,2.81807870053141,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_3_VULTURE.est1","VULTURE",3,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_3_KINGCOBRA.est",0.360272554493469,-24.0247930564035,24.7453381653905,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_3_KINGCOBRA.est","KINGCOBRA",3,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_3_KINGCOBRA.est1",2.05833736457317,-2.69131829071895,6.80799301986529,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_3_KINGCOBRA.est1","KINGCOBRA",3,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_4_BADGER.est",3.03015871386816,-3.54824983611566,9.60856726385197,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_4_BADGER.est","BADGER",4,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_4_BADGER.est1",-0.669748263887397,-2.62231236036577,1.28281583259098,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_4_BADGER.est1","BADGER",4,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_4_VULTURE.est",0.835379038623131,-3.91441763035235,5.58517570759861,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_4_VULTURE.est","VULTURE",4,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_4_VULTURE.est1",0.502391656511182,-3.77565192034709,4.78043523336945,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_4_VULTURE.est1","VULTURE",4,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_4_KINGCOBRA.est",2.31038109328401,-3.61483986290665,8.23560204947467,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_4_KINGCOBRA.est","KINGCOBRA",4,2,15,"no effect"
"wrsfMethodsOUT_15_0.5_4_KINGCOBRA.est1",-0.117496436371417,-3.55070006579053,3.3157071930477,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_0.5_4_KINGCOBRA.est1","KINGCOBRA",4,2,15,"no effect"
"wrsfMethodsOUT_15_1_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_1_BADGER","BADGER",1,1,15,NA
"wrsfMethodsOUT_15_1_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_1_VULTURE","VULTURE",1,1,15,NA
"wrsfMethodsOUT_15_1_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_1_KINGCOBRA","KINGCOBRA",1,1,15,NA
"wrsfMethodsOUT_15_1_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_2_BADGER","BADGER",2,1,15,NA
"wrsfMethodsOUT_15_1_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_2_VULTURE","VULTURE",2,1,15,NA
"wrsfMethodsOUT_15_1_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_2_KINGCOBRA","KINGCOBRA",2,1,15,NA
"wrsfMethodsOUT_15_1_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_3_BADGER","BADGER",3,1,15,NA
"wrsfMethodsOUT_15_1_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_3_VULTURE","VULTURE",3,1,15,NA
"wrsfMethodsOUT_15_1_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_3_KINGCOBRA","KINGCOBRA",3,1,15,NA
"wrsfMethodsOUT_15_1_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_4_BADGER","BADGER",4,1,15,NA
"wrsfMethodsOUT_15_1_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_4_VULTURE","VULTURE",4,1,15,NA
"wrsfMethodsOUT_15_1_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_1_4_KINGCOBRA","KINGCOBRA",4,1,15,NA
"wrsfMethodsOUT_15_2_1_BADGER.est",-0.0235818280062148,-3.97196151227954,3.92479785626711,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_1_BADGER.est","BADGER",1,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_1_BADGER.est1",0.17648829107876,-2.12056721039215,2.47354379254967,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_1_BADGER.est1","BADGER",1,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_1_VULTURE.est",-0.00421567268465075,-3.45012295848709,3.44169161311779,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_1_VULTURE.est","VULTURE",1,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_1_VULTURE.est1",0.571543793938849,-2.08688362727213,3.22997121514983,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_1_VULTURE.est1","VULTURE",1,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_1_KINGCOBRA.est",-2.79013930404882,-5.90324363958143,0.322965031483785,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_1_KINGCOBRA.est","KINGCOBRA",1,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_1_KINGCOBRA.est1",3.55218816031252,-1.33778696791694,8.44216328854199,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_1_KINGCOBRA.est1","KINGCOBRA",1,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_2_BADGER.est",2.30555867372349,-1.80208657546421,6.41320392291119,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_2_BADGER.est","BADGER",2,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_2_BADGER.est1",2.34622691464469,-1.56936916195881,6.26182299124819,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_2_BADGER.est1","BADGER",2,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_2_VULTURE.est",-0.47832665158498,-2.86222405662446,1.9055707534545,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_2_VULTURE.est","VULTURE",2,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_2_VULTURE.est1",0.944366910041529,-1.93648922962142,3.82522304970448,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_2_VULTURE.est1","VULTURE",2,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_2_KINGCOBRA.est",1.99294112947474,-2.86715698609588,6.85303924504535,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_2_KINGCOBRA.est","KINGCOBRA",2,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_2_KINGCOBRA.est1",1.36864329641323,-1.48544648664483,4.2227330794713,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_2_KINGCOBRA.est1","KINGCOBRA",2,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_3_BADGER.est",0.460266783850686,-2.64932246131232,3.56985602901369,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_3_BADGER.est","BADGER",3,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_3_BADGER.est1",0.246136943078082,-3.14811076301075,3.64038464916692,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_3_BADGER.est1","BADGER",3,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_3_VULTURE.est",-0.834390037926898,-3.50629614725269,1.83751607139889,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_3_VULTURE.est","VULTURE",3,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_3_VULTURE.est1",0.327144211070698,-2.17610222304697,2.83039064518837,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_3_VULTURE.est1","VULTURE",3,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_3_KINGCOBRA.est",1.46965999608679,-36.0798092754374,39.019129267611,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_3_KINGCOBRA.est","KINGCOBRA",3,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_3_KINGCOBRA.est1",1.63791990598496,-2.65257725086334,5.92841706283326,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_3_KINGCOBRA.est1","KINGCOBRA",3,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_4_BADGER.est",1.81660775165126,-1.8880567401307,5.52127224343321,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_4_BADGER.est","BADGER",4,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_4_BADGER.est1",-1.04984578524468,-2.54285409383598,0.443162523346609,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_4_BADGER.est1","BADGER",4,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_4_VULTURE.est",1.45127693829862,-2.85314092930441,5.75569480590164,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_4_VULTURE.est","VULTURE",4,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_4_VULTURE.est1",0.947382064927515,-2.56287499489608,4.45763912475111,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_4_VULTURE.est1","VULTURE",4,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_4_KINGCOBRA.est",2.41077324425561,-2.87026790959428,7.6918143981055,"wRSF","classRaster",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_4_KINGCOBRA.est","KINGCOBRA",4,0.5,15,"no effect"
"wrsfMethodsOUT_15_2_4_KINGCOBRA.est1",0.0327416005201931,-2.84548344597763,2.91096664701801,"wRSF","classRasterScram",NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_2_4_KINGCOBRA.est1","KINGCOBRA",4,0.5,15,"no effect"
"wrsfMethodsOUT_15_6_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_1_BADGER","BADGER",1,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_1_VULTURE","VULTURE",1,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_1_KINGCOBRA","KINGCOBRA",1,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_2_BADGER","BADGER",2,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_2_VULTURE","VULTURE",2,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_2_KINGCOBRA","KINGCOBRA",2,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_3_BADGER","BADGER",3,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_3_VULTURE","VULTURE",3,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_3_KINGCOBRA","KINGCOBRA",3,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_4_BADGER","BADGER",4,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_4_VULTURE","VULTURE",4,0.166666666666667,15,NA
"wrsfMethodsOUT_15_6_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_15_6_4_KINGCOBRA","KINGCOBRA",4,0.166666666666667,15,NA
"wrsfMethodsOUT_30_0.5_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_1_BADGER","BADGER",1,2,30,NA
"wrsfMethodsOUT_30_0.5_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_1_VULTURE","VULTURE",1,2,30,NA
"wrsfMethodsOUT_30_0.5_1_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_1_KINGCOBRA","KINGCOBRA",1,2,30,NA
"wrsfMethodsOUT_30_0.5_2_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_2_BADGER","BADGER",2,2,30,NA
"wrsfMethodsOUT_30_0.5_2_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_2_VULTURE","VULTURE",2,2,30,NA
"wrsfMethodsOUT_30_0.5_2_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_2_KINGCOBRA","KINGCOBRA",2,2,30,NA
"wrsfMethodsOUT_30_0.5_3_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_3_BADGER","BADGER",3,2,30,NA
"wrsfMethodsOUT_30_0.5_3_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_3_VULTURE","VULTURE",3,2,30,NA
"wrsfMethodsOUT_30_0.5_3_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_3_KINGCOBRA","KINGCOBRA",3,2,30,NA
"wrsfMethodsOUT_30_0.5_4_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_4_BADGER","BADGER",4,2,30,NA
"wrsfMethodsOUT_30_0.5_4_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_4_VULTURE","VULTURE",4,2,30,NA
"wrsfMethodsOUT_30_0.5_4_KINGCOBRA",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_0.5_4_KINGCOBRA","KINGCOBRA",4,2,30,NA
"wrsfMethodsOUT_30_1_1_BADGER",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_1_1_BADGER","BADGER",1,1,30,NA
"wrsfMethodsOUT_30_1_1_VULTURE",NA,NA,NA,"wRSF",NA,NA,NA,NA,NA,NA,"wrsfMethodsOUT_30_1_1_VULTURE","VULTURE",1,1,30,NA
